"First Row: Number of Stations. Section 1: Station Name, Usage, X-coordinate, Y-coordinate. Section 2 (Edges): Station A Name, Station B Name. NOTE: Omitted Mass Ave on Silver Line (repeat name), also St Paul's St on C-line",,,,,
299,,,,,
BirHakeim,Dupleix,,,,
BirHakeim,Passy,,,,
Blanche,Pigalle,,,,
Blanche,PlacedeClichy,,,,
BobignyPabloPicasso,BobignyPantinRaymondQueneau,,,,
BobignyPantinRaymondQueneau,BobignyPabloPicasso,,,,
BobignyPantinRaymondQueneau,EglisedePantin,,,,
Boissiere,Kleber,,,,
Boissiere,Trocadero,,,,
Bolivar,ButtesChaumont,,,,
Bolivar,Jaures,,,,
BonneNouvelle,GrandsBoulevards,,,,
BonneNouvelle,StrasbourgSaintDenis,,,,
Botzaris,ButtesChaumont,,,,
Botzaris,Danube,,,,
Botzaris,PlacedesFetes,,,,
Boucicaut,FelixFaure,,,,
Boucicaut,Lourmel,,,,
BoulogneJeanJaures,BoulognePontdeSaintCloud,,,,
BoulogneJeanJaures,MichelAngeMolitor,,,,
BoulogneJeanJaures,Ported'Auteuil,,,,
BoulognePontdeSaintCloud,BoulogneJeanJaures,,,,
Bourse,QuatreSeptembre,,,,
Bourse,Sentier,,,,
BreguetSabin,Bastille,,,,
BreguetSabin,RichardLenoir,,,,
Brochant,LaFourche,,,,
Brochant,PortedeClichy,,,,
ButtesChaumont,Bolivar,,,,
ButtesChaumont,Botzaris,,,,
Buzenval,Maraichers,,,,
Buzenval,Nation,,,,
Cadet,LePeletier,,,,
Cadet,Poissonniere,,,,
Cambronne,LaMottePicquetGrenelle,,,,
Cambronne,SevresLecourbe,,,,
CampoFormio,Placed'Italie,,,,
CampoFormio,SaintMarcel,,,,
CardinalLemoine,Jussieu,,,,
CardinalLemoine,MaubertMutualite,,,,
CarrefourPleyel,MairiedeSaintOuen,,,,
CarrefourPleyel,SaintDenisPortedeParis,,,,
CensierDaubenton,LesGobelins,,,,
CensierDaubenton,PlaceMonge,,,,
ChampsElyseesClemenceau,Concorde,,,,
ChampsElyseesClemenceau,FranklinD.Roosevelt,,,,
ChampsElyseesClemenceau,Invalides,,,,
ChampsElyseesClemenceau,Miromesnil,,,,
ChardonLagache,MichelAngeMolitor,,,,
ChardonLagache,Mirabeau,,,,
CharentonEcoles,EcoleVeterinairedeMaisonsAlfort,,,,
CharentonEcoles,Liberte,,,,
CharlesdeGaulleEtoile,Argentine,,,,
CharlesdeGaulleEtoile,GeorgeV,,,,
CharlesdeGaulleEtoile,Kleber,,,,
CharlesdeGaulleEtoile,Ternes,,,,
CharlesdeGaulleEtoile,VictorHugo,,,,
CharlesMichels,AvenueEmileZola,,,,
CharlesMichels,JavelAndreCitroen,,,,
Charonne,RuedesBoulets,,,,
Charonne,Voltaire,,,,
Chateaud'Eau,Garedel'Est,,,,
Chateaud'Eau,StrasbourgSaintDenis,,,,
ChateaudeVincennes,Berault,,,,
ChateauLandon,Garedel'Est,,,,
ChateauLandon,LouisBlanc,,,,
ChateauRouge,BarbesRochechouart,,,,
ChateauRouge,MarcadetPoissonniers,,,,
Chatelet,Cite,,,,
Chatelet,GaredeLyon,,,,
Chatelet,HoteldeVille,,,,
Chatelet,LesHalles,,,,
Chatelet,LouvreRivoli,,,,
Chatelet,PontMarie,,,,
Chatelet,PontNeuf,,,,
Chatelet,Pyramides,,,,
ChatillonMontrouge,MalakoffRueEtienneDolet,,,,
Chausseed'AntinLaFayette,HavreCaumartin,,,,
Chausseed'AntinLaFayette,LePeletier,,,,
Chausseed'AntinLaFayette,Opera,,,,
Chausseed'AntinLaFayette,RichelieuDrouot,,,,
CheminVert,Bastille,,,,
CheminVert,SaintSebastienFroissart,,,,
Chevaleret,Nationale,,,,
Chevaleret,QuaidelaGare,,,,
Cite,Chatelet,,,,
Cite,SaintMichel,,,,
ClunyLaSorbonne,MaubertMutualite,,,,
ClunyLaSorbonne,Odeon,,,,
ColonelFabien,Belleville,,,,
ColonelFabien,Jaures,,,,
Commerce,FelixFaure,,,,
Commerce,LaMottePicquetGrenelle,,,,
Concorde,AssembleeNationale,,,,
Concorde,ChampsElyseesClemenceau,,,,
Concorde,Invalides,,,,
Concorde,Madeleine,,,,
Concorde,Tuileries,,,,
Convention,PortedeVersailles,,,,
Convention,Vaugirard,,,,
CorentinCariou,Crimee,,,,
CorentinCariou,PortedelaVillette,,,,
CorentinCelton,Mairied'Issy,,,,
CorentinCelton,PortedeVersailles,,,,
Corvisart,Glaciere,,,,
Corvisart,Placed'Italie,,,,
Courcelles,Monceau,,,,
Courcelles,Ternes,,,,
Couronnes,Belleville,,,,
Couronnes,Menilmontant,,,,
CourSaintEmilion,Bercy,,,,
CourSaintEmilion,BibliothequeFrancoisMitterrand,,,,
CreteilL'Echat,CreteilUniversite,,,,
CreteilL'Echat,MaisonsAlfortLesJuilliottes,,,,
CreteilPrefecture,CreteilUniversite,,,,
CreteilUniversite,CreteilL'Echat,,,,
CreteilUniversite,CreteilPrefecture,,,,
Crimee,CorentinCariou,,,,
Crimee,Riquet,,,,
CroixdeChavaux,MairiedeMontreuil,,,,
CroixdeChavaux,Robespierre,,,,
Danube,Botzaris,,,,
Danube,PreSaintGervais,,,,
Daumesnil,BelAir,,,,
Daumesnil,Dugommier,,,,
Daumesnil,MichelBizot,,,,
Daumesnil,Montgallet,,,,
DenfertRochereau,MoutonDuvernet,,,,
DenfertRochereau,Raspail,,,,
DenfertRochereau,SaintJacques,,,,
Dugommier,Bercy,,,,
Dugommier,Daumesnil,,,,
Dupleix,BirHakeim,,,,
Dupleix,LaMottePicquetGrenelle,,,,
Duroc,MontparnasseBienvenue,,,,
Duroc,SaintFrancoisXavier,,,,
Duroc,Segur,,,,
Duroc,Vaneau,,,,
EcoleMilitaire,LaMottePicquetGrenelle,,,,
EcoleMilitaire,LaTourMaubourg,,,,
EcoleVeterinairedeMaisonsAlfort,CharentonEcoles,,,,
EcoleVeterinairedeMaisonsAlfort,MaisonsAlfortStade,,,,
EdgarQuinet,MontparnasseBienvenue,,,,
EdgarQuinet,Raspail,,,,
Eglised'Auteuil,JavelAndreCitroen,,,,
Eglised'Auteuil,MichelAngeAuteuil,,,,
EglisedePantin,BobignyPantinRaymondQueneau,,,,
EglisedePantin,Hoche,,,,
EsplanadedelaDefense,LaDefense,,,,
EsplanadedelaDefense,PontdeNeuilly,,,,
EtienneMarcel,LesHalles,,,,
EtienneMarcel,ReaumurSebastopol,,,,
Europe,SaintLazare,,,,
Europe,Villiers,,,,
Exelmans,MichelAngeMolitor,,,,
Exelmans,PortedeSaintCloud,,,,
FaidherbeChaligny,LedruRollin,,,,
FaidherbeChaligny,ReuillyDiderot,,,,
Falguiere,MontparnasseBienvenue,,,,
Falguiere,Pasteur,,,,
FelixFaure,Boucicaut,,,,
FelixFaure,Commerce,,,,
FillesduCalvaire,Republique,,,,
FillesduCalvaire,SaintSebastienFroissart,,,,
Fortd'Aubervilliers,AubervilliersPantinQuatreChemins,,,,
Fortd'Aubervilliers,LaCourneuve8Mai1945,,,,
FranklinD.Roosevelt,AlmaMarceau,,,,
FranklinD.Roosevelt,ChampsElyseesClemenceau,,,,
FranklinD.Roosevelt,GeorgeV,,,,
FranklinD.Roosevelt,SaintPhilippeduRoule,,,,
GabrielPeri,LesAgnettes,,,,
